Record Info,Last Modified User,Last Modified Date,ID,Member Name,Primary Domain,Date,Type,Area,Role,Activity Type,Geographical Scope,Host,Country,Province,City,Number of Attendees,Main Audience,Hours,Teaching Effectiveness Score,URL,Competitive,Education Presentation,Remarks,Funding Organization,Authorship,Title,Rest of Citation,Personal Remuneration,Other Details (doesn't print)
1,"Malcomson, Paul",4/29/2015 11:59:09 AM,67445,"Malcomson, Paul",Psychiatry,2009/07/01,Student Presentation,,Presenter,Community Outreach Activity,Local,organizer field,Canada,Ontario,london,1000,Decision Maker,4,4/7 score,url field,False,True,,,"Malcomson P, Smith D, Strangelove Dr, Snuffleupagus Mr, Baggins B, Dragon S, Parker P, Schwarzenegger  A, Harper S, Larson G.","""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt",the rest of citation field,"$12,334.55",
1,"Malcomson, Paul",2/6/2015 1:02:37 PM,65944,"Malcomson, Paul",Psychiatry,2009/07,Visiting Professorship,,Visiting Professor,Community Outreach Activity,Regional,tangible entries,,,,,,,,,False,False,,,"Schwarzenegger  A, Harper S, Larson G.","""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt",,,
1,"Malcomson, Paul",1/23/2015 11:37:29 AM,65862,"Malcomson, Paul",Psychiatry,2009/07/01,Abstract Presented,,Presenter,Community Outreach Activity,Local,organizer field,Canada,Ontario,london,1000,Decision Maker,4,4/7 score,url field,False,True,,,"Malcomson P, Smith D, Strangelove Dr, Snuffleupagus Mr, Baggins B, Harper S, Larson G.",teaching dossier investigation @@@,the rest of citation field,"$12,334.55",
1,"Malcomson, Paul",11/14/2014 1:18:55 PM,58455,"Malcomson, Paul",Psychiatry,2013/11/15,Plenary Presentation,,Keynote Speaker,Continuing Medical Education,Regional,Western University,Canada,Ontario,London,,Knowledge User,,,,False,True,,,"Strangelove Dr, Snuffleupagus Mr, Baggins B, Dragon S, Parker P, Schwarzenegger  A, Harper S, Larson G.",,,,
1,"Malcomson, Paul",6/10/2014 11:21:18 AM,62407,,Psychiatry,2012,Invited Lectures,,Invited Lecturer,Continuing Medical Education,Local,,Canada,,,,Knowledge User,,,,False,False,,,"Smith D, Strangelove Dr, Malcomson P.","""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt",,,
1,"Malcomson, Paul",6/10/2014 11:20:45 AM,62406,"Malcomson, Paul",Psychiatry,2012/07/01,Visiting Professorship,,Visiting Professor,Continuing Medical Education,International,,United States,,,,Knowledge User,,,,False,False,,,"Malcomson P, Smith D, Strangelove Dr, Snuffleupagus Mr, Baggins B, Dragon S, Parker P, Schwarzenegger  A, Harper S, Larson G.","""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt",,,
1,"Malcomson, Paul",5/21/2014 12:12:24 PM,61877,"Malcomson, Paul",Psychiatry,2008/01/13,Invited Lectures,,Invited Lecturer,Continuing Medical Education,Local,University of Western Ontario,Canada,Ontario,London,,Knowledge User,,,,False,False,,,"Schwarzenegger  A, Harper S, Larson G.","""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt",,,
1,"Malcomson, Paul",5/21/2014 12:11:26 PM,61876,"Malcomson, Paul",Psychiatry,2015/01,Invited Lectures,,Invited Lecturer,Continuing Medical Education,Local,University of Western Ontario,Canada,Ontario,London,,Knowledge User,,,,False,False,,,"Malcomson P, Smith D, Strangelove Dr, Snuffleupagus Mr, Baggins B, Harper S, Larson G.",secondarily testing the sort order using the rest of citation field,This is the rest of citation,,
1,"Malcomson, Paul",5/21/2014 12:10:57 PM,61875,"Malcomson, Paul",Psychiatry,2010/01/01,Invited Lectures,,Invited Lecturer,Continuing Medical Education,Provincial,University of Western Ontario,Canada,Ontario,London,,Knowledge User,2,,,False,False,,,"Strangelove Dr, Snuffleupagus Mr, Baggins B, Dragon S, Parker P, Schwarzenegger  A, Harper S, Larson G.","""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt",,,
1,"Malcomson, Paul",4/3/2014 1:48:04 PM,61072,"Malcomson, Paul",Psychiatry,2021/03,Visiting Professorship,,Invited Lecturer,Community Outreach Activity,Regional,,,,,,,,,,False,False,,,"Smith D, Strangelove Dr, Malcomson P.","""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt",,,
